Current User: User 1,Project Role: Administrators,Application Access: Any logged in user,Project Role: Testers,Application Access: jira-software,Group: Anyone,Curent Assignee,Project Role: Developers,Reporter,Project Lead: Administrator,Single User: User 2,Single User: User 3,
false,false,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
true,true,true,true,true,true,false,false,false,false,false,false,
true,true,false,false,false,false,true,true,false,false,false,false,
true,true,false,false,false,false,true,true,false,false,false,false,
true,true,false,false,false,false,true,true,false,false,false,false,
true,true,false,false,false,false,true,true,false,false,false,false,
true,true,true,true,true,true,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
true,true,true,true,true,true,true,true,true,false,false,false,
true,true,false,false,false,false,false,true,true,false,false,false,
true,true,false,false,false,false,false,true,true,false,false,false,
true,true,false,false,false,false,false,true,true,false,false,false,
true,true,false,false,false,false,false,true,true,false,false,false,
true,true,false,false,false,false,false,true,true,false,false,false,
true,true,true,true,true,true,true,true,true,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,true,true,
true,true,true,false,false,false,false,false,false,true,true,true,
true,true,false,true,false,false,false,false,true,false,true,true,
true,true,false,false,true,false,false,true,false,false,true,true,
true,true,false,false,false,true,true,false,false,false,true,true,
true,true,false,false,false,false,false,false,false,false,true,true,
true,true,false,false,false,false,false,false,false,false,true,true,
